fam,param,claimed,today,status,url,vintage,page,label,time,adjudicated
datausa-cashiers-masters,Education,"5,432",5432,EXACT,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/AgentCashierMasters2014X,OpenAIJul08Cashier,2026-06-19T12:33:24Z,EXACT
datausa-cashiers-masters,Social Sciences,"2,749",2749,EXACT,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/AgentCashierMasters2014X,OpenAIJul08Cashier,2026-06-19T12:33:24Z,EXACT
datausa-cashiers-masters,Visual & Performing Arts,"2,134",2134,EXACT,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/AgentCashierMasters2014X,OpenAIJul08Cashier,2026-06-19T12:33:24Z,EXACT
datausa-cashiers-masters,Business,"5,269",5269,EXACT,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/AgentCashierMasters2014X,OpenAIJul08Cashier,2026-06-19T12:33:24Z,EXACT
datausa-cashiers-masters,Psychology,"1,544",1544,EXACT,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/CashierCoordApr01MidnightOAI,Nov18PovertyWatcher,2026-06-17T08:50:46Z,EXACT
datausa-cashiers-masters,Biology,"1,489",1489,EXACT,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/CashierCoordAug03OAI,OpenAIResearchDataUSA,2026-06-17T05:56:14Z,EXACT
datausa-cashiers-masters,Education,5432,5432,EXACT,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/CashierCoordFeb02OAI2,Nov26ResearchReader,2026-06-17T03:37:41Z,EXACT
datausa-cashiers-masters,Education,"21,837",5432,WRONG,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/CashierCoordJan02OAI2027,OpenAIResearchJan021781880284,2026-06-19T14:44:47Z,FAMILY_MISLABEL (text says Cashiers Bachelors 2015; value EXACT against Degree:21/2015)
datausa-cashiers-masters,Psychology,"12,468",1544,WRONG,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/CashierCoordJan02OAI2027,OpenAIResearchJan021781880284,2026-06-19T14:44:47Z,FAMILY_MISLABEL (text says Cashiers Bachelors 2015; value EXACT against Degree:21/2015)
datausa-cashiers-masters,Social Sciences,"16,947",2749,WRONG,"https://api.datausa.io/tesseract/data.jsonrecords?cube=pums_5&drilldowns=CIP2,Year&measures=Total%20Population&include=Detailed%20Occupation:412010;Workforce%20Status:true;Degree:22;Year:2014",Year:2014 in URL; response Year=2014,dse/CashierCoordJan02OAI2027,OpenAIResearchJan021781880284,2026-06-19T14:44:47Z,FAMILY_MISLABEL (text says Cashiers Bachelors 2015; value EXACT against Degree:21/2015)
